Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0156.hjs,164.261,19.5475,60.45,26.725,28.11,1.721088459
modelo_n_0157.hjs,109.019,14.3225,20.25,18.325,20.71,1.523923723
modelo_n_0158.hjs,4.079,23.6175,253.65,2.425,13.91,30.30293184
modelo_n_0159.hjs,153.371,30.2725,16.35,6.125,12.09,0.309574803
modelo_n_0160.hjs,83.081,32.0875,166.65,36.025,27.09,2.139517263
modelo_n_0161.hjs,199.505,47.5975,206.85,26.675,20.01,1.06178714
modelo_n_0162.hjs,132.977,29.7775,212.25,11.275,10.73,1.602657429
modelo_n_0163.hjs,197.327,29.4475,209.55,7.075,18.39,0.751826744
modelo_n_0164.hjs,148.025,11.9025,22.35,38.925,21.47,4.103325554
modelo_n_0165.hjs,37.739,32.3625,208.65,6.075,18.37,2.341256781
modelo_n_0166.hjs,49.421,49.1375,16.65,30.075,27.71,0.738520541
modelo_n_0167.hjs,110.405,12.2325,86.85,43.875,29.31,5.137625
modelo_n_0168.hjs,2.891,17.7875,90.45,7.225,18.57,12.78725166
modelo_n_0169.hjs,108.227,19.6025,124.05,6.175,18.43,0.912352223
modelo_n_0170.hjs,90.011,18.2825,199.05,33.475,25.63,3.253051045
modelo_n_0171.hjs,130.799,46.0025,280.05,36.525,26.97,1.636022998
modelo_n_0172.hjs,181.091,6.7875,120.75,7.625,28.63,1.550312385
modelo_n_0173.hjs,122.879,39.1275,274.05,43.675,28.67,2.204479517
modelo_n_0174.hjs,4.475,19.8225,291.15,28.625,23.11,22.11903221
modelo_n_0175.hjs,185.249,33.6275,70.95,34.825,16.99,1.4650205
modelo_n_0176.hjs,3.881,57.8825,172.05,33.525,25.87,22.05149742
modelo_n_0177.hjs,171.983,50.1825,135.15,49.925,12.71,1.870355519
modelo_n_0178.hjs,8.831,15.5875,170.25,18.425,20.33,8.998874267
modelo_n_0179.hjs,38.927,48.2025,264.45,47.425,24.09,3.544519996
modelo_n_0180.hjs,113.771,12.3975,117.45,29.675,15.23,3.724871202
